timesteps_per_sequence_N,m,num_of_epochs,batch_size_b,learning_rate,input_size,hidden_size,number_of_layers,output_size,r2_train_scaled,r2_val_scaled,r2_test_scaled,mse_train_scaled,mse_val_scaled,mse_test_scaled,r2_train,r2_val,r2_test,mse_train,mse_val,mse_test,mse_mean,mse_std,time_training,mse_num_of_last_steps,num_of_iterations,id,weighted,architecture,training_type,device,scaler
200,26,1500,100,0.0003,1,8,1,2,99.34,98.79,99.11,0.006433419417589903,0.012156910263001919,0.00835033692419529,99.34,98.79,99.11,8.216431617736816,18.583683013916016,10.438425064086914,0.03328313481062651,0.0023386273290572123,144.37,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,31,1500,100,0.0003,1,8,1,2,99.37,98.75,99.15,0.006182798650115728,0.012594051659107208,0.007885434664785862,99.37,98.75,99.15,7.87204122543335,18.676612854003906,9.6669282913208,0.028978082351386547,0.0021698320908272225,140.5,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,36,1500,100,0.0003,1,8,1,2,99.38,98.67,99.17,0.006091424264013767,0.013319654390215874,0.007769439835101366,99.38,98.67,99.17,7.8240227699279785,19.310884475708008,9.376440048217773,0.02553095353767276,0.002040576141470885,145.76,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,42,1500,100,0.0003,1,8,1,2,99.39,98.54,99.21,0.005905545316636562,0.01455286331474781,0.007331090979278088,99.39,98.54,99.21,7.621994495391846,20.52296257019043,8.760610580444336,0.02200296100229025,0.0018389513827467634,158.75,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,47,1500,100,0.0003,1,8,1,2,99.42,98.64,99.2,0.005649663042277098,0.013610566966235638,0.007417633198201656,99.42,98.64,99.2,7.211015701293945,19.714580535888672,8.791784286499023,0.02010184367187321,0.001778880375479404,152.17,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,52,1500,100,0.0003,1,8,1,2,99.45,98.77,99.24,0.005353794898837805,0.012410727329552174,0.007122565060853958,99.45,98.77,99.24,6.7627692222595215,17.991167068481445,8.390620231628418,0.01811252975836396,0.001739608748364745,147.77,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,57,1500,100,0.0003,1,8,1,2,99.48,98.83,99.28,0.005064923316240311,0.011737236753106117,0.0066901156678795815,99.48,98.83,99.28,6.336606025695801,16.63671875,7.8094096183776855,0.016356525560840964,0.001638841826665104,153.09,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,63,1500,100,0.0003,1,8,1,2,99.55,98.93,99.38,0.0043800463899970055,0.010785212740302086,0.005796962417662144,99.55,98.93,99.38,5.445590496063232,15.020853042602539,6.7865495681762695,0.013983829533681274,0.001573681759389996,144.26,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,68,1500,100,0.0003,1,8,1,2,99.59,99.06,99.47,0.004007922485470772,0.00945047102868557,0.005004820413887501,99.59,99.06,99.47,4.9535088539123535,12.966046333312988,5.749047756195068,0.012436939990147949,0.0014555746393899924,150.58,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,73,1500,100,0.0003,1,8,1,2,99.61,99.18,99.53,0.0038005271926522255,0.008273189887404442,0.0044359383173286915,99.61,99.18,99.53,4.756555080413818,11.39381217956543,5.018582344055176,0.011124646086245775,0.0013408888853407492,155.95,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,78,1500,100,0.0003,1,8,1,2,99.62,99.24,99.54,0.00378781883046031,0.007701478898525238,0.004346430767327547,99.62,99.24,99.54,4.83984375,10.641469955444336,4.898129940032959,0.010085498411208392,0.0012605288497326281,143.76,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,83,1500,100,0.0003,1,8,1,2,99.62,99.23,99.54,0.0038101663812994957,0.0077933440916240215,0.004364470019936562,99.62,99.23,99.54,4.8996052742004395,10.553692817687988,4.750384330749512,0.009162583197467029,0.0011831189380103512,133.16,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,89,1500,100,0.0003,1,8,1,2,99.63,99.29,99.54,0.003652888350188732,0.007302667014300823,0.004303466062992811,99.63,99.29,99.54,5.209961891174316,10.455048561096191,5.535294532775879,0.008246787344105541,0.0010877042236423383,143.01,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,94,1500,100,0.0003,1,8,1,2,99.64,99.33,99.57,0.0036119718570262194,0.0068623884581029415,0.0041360859759151936,99.64,99.33,99.57,4.447718143463135,9.146949768066406,4.322192192077637,0.007442780737765133,0.0009429895392777877,156.98,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,99,1500,100,0.0003,1,8,1,2,99.65,99.34,99.57,0.003497934900224209,0.006729492451995611,0.004069958347827196,99.65,99.34,99.57,4.8800859451293945,9.713712692260742,5.12821102142334,0.006977533409371972,0.0008334636276868347,129.25,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,110,1500,100,0.0003,1,8,1,2,99.69,99.39,99.67,0.00309183681383729,0.006311843171715736,0.003070675767958164,99.69,99.39,99.67,4.431097030639648,5.552913188934326,3.984158515930176,0.005507661108858883,0.0007209509193543423,132.08,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
200,120,1500,100,0.0003,1,8,1,2,99.67,99.39,99.67,0.0032543695997446775,0.006257631350308657,0.00304342620074749,99.67,99.39,99.67,4.665381908416748,6.968077659606934,3.289710283279419,0.0052162413857877255,0.0006476683236419213,140.72,100,96000,2025_12_02-12_11_51,no,LSTM,stateless,cuda,StandardScaler
