lookback_length_L,m,forecasting_length_H,input_size,hidden_size,number_of_layers,output_size,num_of_epochs,batch_size_b,learning_rate,length_train,length_val,variate,mse_train_scaled,mse_val_scaled,r2_train_scaled,r2_val_scaled,mse_train_unscaled,mse_val_unscaled,r2_train_unscaled,r2_val_unscaled,loss_mean_last1000,loss_std_last1000,time_training,num_of_iterations,id,weighted,architecture,training_type,device,scaler
192,50,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.02678334154188633,0.4846756175104063,97.35,-1.85,2.0878515243530273,100.27362560156584,97.35,-18940.22,0.07580581080354751,0.017943977568775773,305.02,183900,2025_12_03-20_24_37,no,LSTM,stateless,cuda,StandardScaler
192,60,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.03978235647082329,0.5020143443244509,96.06,-33.19,3.1011674404144287,116.57720494435429,96.06,-24174.72,0.059465649211779235,0.014582485250492855,300.76,183900,2025_12_03-20_24_37,no,LSTM,stateless,cuda,StandardScaler
192,70,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.023268625140190125,0.49627319141263143,97.7,-6.57,1.813867211341858,104.57647304710746,97.7,-19580.89,0.04865451040677726,0.010744358873072913,305.81,183900,2025_12_03-20_24_37,no,LSTM,stateless,cuda,StandardScaler
192,80,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.020677490159869194,0.5366888238664251,97.95,-32.92,1.6118799448013306,103.41153446735143,97.95,-22257.32,0.037815243078395726,0.01003726706426691,307.25,183900,2025_12_03-20_24_37,no,LSTM,stateless,cuda,StandardScaler
192,90,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.0202329084277153,0.4678468272140715,98.0,-28.8,1.5772228240966797,118.62898683540224,98.0,-24025.78,0.031952605955302714,0.007459440650560668,298.22,183900,2025_12_03-20_24_37,no,LSTM,stateless,cuda,StandardScaler
192,101,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.01931540109217167,0.5288682930605021,98.09,-23.17,1.5057002305984497,115.49610704292058,98.09,-22480.54,0.026718887434341015,0.006376969386505489,302.05,183900,2025_12_03-20_24_37,no,LSTM,stateless,cuda,StandardScaler
192,111,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.017180481925606728,0.45313949716240165,98.3,-17.51,1.3392759561538696,117.16414432013035,98.3,-23129.27,0.020931136535480618,0.004849295507925497,298.44,183900,2025_12_03-20_24_37,no,LSTM,stateless,cuda,StandardScaler
192,121,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.016122465953230858,0.5503070888406132,98.4,-33.91,1.256799340248108,114.09408299109936,98.4,-23661.12,0.01809968199208379,0.004255975863490318,300.48,183900,2025_12_03-20_24_37,no,LSTM,stateless,cuda,StandardScaler
192,131,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.013522396795451641,0.4804888979558833,98.66,-19.36,1.054116129875183,113.6364623882711,98.66,-22276.09,0.014352990718092769,0.002799519795285389,302.85,183900,2025_12_03-20_24_37,no,LSTM,stateless,cuda,StandardScaler
192,141,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.014120937325060368,0.44514531146967784,98.6,-25.65,1.1007746458053589,124.32471687489152,98.6,-24674.94,0.01883839460182935,0.01192744307708492,302.96,183900,2025_12_03-20_24_37,no,LSTM,stateless,cuda,StandardScaler
192,151,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.014592920430004597,0.47260895757735705,98.56,-23.69,1.1375670433044434,115.46115804838539,98.56,-23333.01,0.019030619700904937,0.012031132970098259,300.67,183900,2025_12_03-20_24_37,no,LSTM,stateless,cuda,StandardScaler
192,161,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.017437277361750603,0.445929467675928,98.27,-10.71,1.3592931032180786,127.62289556700587,98.27,-22404.72,0.0177040291139856,0.0036666016047849697,290.57,183900,2025_12_03-20_24_37,no,LSTM,stateless,cuda,StandardScaler
192,171,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.018296951428055763,0.5041197814381682,98.19,-24.76,1.4263077974319458,105.06815197747349,98.19,-22163.01,0.018547678492031993,0.0038968125700814425,303.6,183900,2025_12_03-20_24_37,no,LSTM,stateless,cuda,StandardScaler
192,181,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.020359836518764496,0.4776284428344108,97.98,-15.68,1.5871175527572632,120.1160713677764,97.98,-23191.51,0.028771368546411394,0.018803716538179742,285.28,183900,2025_12_03-20_24_37,no,LSTM,stateless,cuda,StandardScaler
192,191,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.0175935011357069,0.4328922357327305,98.26,-20.16,1.3714717626571655,119.7372293890357,98.26,-22690.35,0.01807310930453241,0.004063430191104409,288.53,183900,2025_12_03-20_24_37,no,LSTM,stateless,cuda,StandardScaler
48,0,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.2996217608451843,0.25740319857466964,70.11,71.74,24.27861213684082,87.41077540113926,70.11,-8256.2,0.47781748028099535,0.0754388122478045,270.34,248100,2025_12_03-22_08_08,no,LSTM,stateless retrain,cuda,StandardScaler
48,5,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.2907596528530121,0.2620570105281193,70.99,70.84,23.56049346923828,82.90364113891124,70.99,-7907.9,0.4503780581653118,0.07869873340261033,293.02,248100,2025_12_03-22_08_08,no,LSTM,stateless retrain,cuda,StandardScaler
48,10,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.2947935163974762,0.2744001877380302,70.59,69.84,23.887313842773438,79.2989370821476,70.59,-7464.92,0.4303774923235178,0.07938467876472606,279.88,248100,2025_12_03-22_08_08,no,LSTM,stateless retrain,cuda,StandardScaler
48,16,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.2908688485622406,0.2733097726096632,70.99,69.91,23.569320678710938,83.05413267971278,70.99,-7887.77,0.41503968311846257,0.08746060272529455,266.91,248100,2025_12_03-22_08_08,no,LSTM,stateless retrain,cuda,StandardScaler
48,21,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.29244983196258545,0.2855275282038143,70.83,69.37,23.697446823120117,78.99722010635138,70.83,-7859.12,0.382884161695838,0.0809393706826262,273.17,248100,2025_12_03-22_08_08,no,LSTM,stateless retrain,cuda,StandardScaler
48,26,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.3030686676502228,0.26821358344662005,69.77,71.48,24.557859420776367,80.27593831747771,69.77,-7679.61,0.38508311986923216,0.08632511104359096,273.46,248100,2025_12_03-22_08_08,no,LSTM,stateless retrain,cuda,StandardScaler
48,31,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.31161341071128845,0.2571451485272031,68.92,71.4,25.25030517578125,80.31999477240443,68.92,-7525.87,0.3775874252021313,0.1001355182229772,270.98,248100,2025_12_03-22_08_08,no,LSTM,stateless retrain,cuda,StandardScaler
48,37,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.3007276952266693,0.28456025327034296,70.0,70.3,24.368188858032227,76.38870147287845,70.0,-7437.76,0.33133986350148914,0.0770956995223534,270.9,248100,2025_12_03-22_08_08,no,LSTM,stateless retrain,cuda,StandardScaler
48,42,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.31969544291496277,0.3065690945106326,68.11,68.43,25.905136108398438,71.84327745550274,68.11,-6862.15,0.3399041185081005,0.08390008312527009,281.54,248100,2025_12_03-22_08_08,no,LSTM,stateless retrain,cuda,StandardScaler
48,47,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.2995801270008087,0.2497922950231703,70.11,73.04,24.275190353393555,85.47037069467306,70.11,-8272.89,0.30351783175766467,0.07620303203871881,285.88,248100,2025_12_03-22_08_08,no,LSTM,stateless retrain,cuda,StandardScaler
96,0,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.07658558338880539,0.2736028665688355,92.36,69.72,6.2057929039001465,97.71888610624075,92.36,-9291.81,0.3045976118147373,0.04958405268130581,303.06,247500,2025_12_03-22_55_35,no,LSTM,stateless retrain,cuda,StandardScaler
96,7,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.07536857575178146,0.22760762487309985,92.48,74.74,6.107181549072266,91.6462779302001,92.48,-8530.69,0.2803097770512104,0.050533470307176864,312.68,247500,2025_12_03-22_55_35,no,LSTM,stateless retrain,cuda,StandardScaler
96,14,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.07459510862827301,0.23966354558984748,92.56,73.09,6.044501781463623,98.26264060557484,92.56,-9316.65,0.26205197350680826,0.05069181000061622,314.13,247500,2025_12_03-22_55_35,no,LSTM,stateless retrain,cuda,StandardScaler
96,20,96,1,96,1,96,300,24,0.0002,20000,5000,2,0.07343351095914841,0.2802362961994484,92.68,70.52,5.950376033782959,95.56295288130045,92.68,-9284.28,0.23115748590230942,0.04887908282695764,302.68,247500,2025_12_03-22_55_35,no,LSTM,stateless retrain,cuda,StandardScaler
