lookback_length_L,m,forecasting_length_H,input_size,hidden_size,number_of_layers,output_size,num_of_epochs,batch_size_b,learning_rate,length_train,length_val,variate,mse_train_scaled,mse_val_scaled,r2_train_scaled,r2_val_scaled,mse_train_unscaled,mse_val_unscaled,r2_train_unscaled,r2_val_unscaled,loss_mean_last1000,loss_std_last1000,time_training,num_of_iterations,id,weighted,architecture,training_type,device,scaler
192,131,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.21055220067501068,0.30976467035555594,79.06,52.12,0.000247342191869393,0.9076734128807272,79.06,-0.52,0.21266229459643363,0.026013805176735343,178.1,105600,2025_12_03-13_31_59,no,LSTM,stateless,cuda,StandardScaler
192,141,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.2078995555639267,0.33674782431418343,79.32,49.51,0.00024422607384622097,0.9086498732811639,79.32,-0.59,0.20920761087536813,0.02682136688536851,177.44,105600,2025_12_03-13_31_59,no,LSTM,stateless,cuda,StandardScaler
192,151,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.23221023380756378,0.3362036888321329,76.9,52.05,0.00027278464403934777,0.910254919058865,76.9,-0.71,0.23164884154498577,0.02876788579472856,168.69,105600,2025_12_03-13_31_59,no,LSTM,stateless,cuda,StandardScaler
192,161,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.2115616649389267,0.32742096454548164,78.95,51.86,0.000248528114752844,0.9086534860144768,78.95,-0.57,0.21275312758982182,0.027999128499311285,177.69,105600,2025_12_03-13_31_59,no,LSTM,stateless,cuda,StandardScaler
192,171,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.21039997041225433,0.3371022354622948,79.07,50.98,0.0002471633779350668,0.9084880219861156,79.07,-0.56,0.21206673660874367,0.028720653922949146,168.08,105600,2025_12_03-13_31_59,no,LSTM,stateless,cuda,StandardScaler
192,181,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.4251180589199066,0.4363896882072801,57.71,43.5,0.0004993993788957596,0.9192301614121312,57.71,-1.63,0.4160974113345146,0.045219471099455275,168.55,105600,2025_12_03-13_31_59,no,LSTM,stateless,cuda,StandardScaler
192,191,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.367010235786438,0.3976932992471293,63.49,46.03,0.0004311384109314531,0.9170541160518215,63.49,-1.43,0.3711478716433048,0.04165495905990375,168.98,105600,2025_12_03-13_31_59,no,LSTM,stateless,cuda,StandardScaler
48,0,96,1,96,1,96,400,24,5e-05,10000,3360,9,0.2867802679538727,0.31601337137343805,71.47,61.92,0.00033435269142501056,0.91325248552575,71.47,2.25,0.38914022532105447,0.033625355006469806,185.3,164000,2025_12_03-14_31_43,no,LSTM,stateless retrain,cuda,StandardScaler
48,5,96,1,96,1,96,400,24,5e-05,10000,3360,9,0.2844706177711487,0.31584886621927755,71.7,61.9,0.0003316596557851881,0.9133263789915613,71.7,2.24,0.35218684628605845,0.03277902735106734,180.68,164000,2025_12_03-14_31_43,no,LSTM,stateless retrain,cuda,StandardScaler
48,10,96,1,96,1,96,400,24,5e-05,10000,3360,9,0.28801894187927246,0.3182855837734505,71.34,61.67,0.0003357968234922737,0.9135580395570113,71.34,2.22,0.3358437909781933,0.03255568405210421,199.64,164000,2025_12_03-14_31_43,no,LSTM,stateless retrain,cuda,StandardScaler
48,16,96,1,96,1,96,400,24,5e-05,10000,3360,9,0.2904491126537323,0.31674432184857626,71.1,61.94,0.0003386300231795758,0.9135773260235077,71.1,2.22,0.32367121978104113,0.03303514192363007,188.43,164000,2025_12_03-14_31_43,no,LSTM,stateless retrain,cuda,StandardScaler
48,21,96,1,96,1,96,400,24,5e-05,10000,3360,9,0.2956993877887726,0.3196137615801057,70.58,61.76,0.0003447513154242188,0.9140225718418757,70.58,2.17,0.3194897225946188,0.034067142539501744,190.71,164000,2025_12_03-14_31_43,no,LSTM,stateless retrain,cuda,StandardScaler
48,26,96,1,96,1,96,400,24,5e-05,10000,3360,9,0.29581955075263977,0.32390515451718654,70.57,60.87,0.0003448913339525461,0.913675844500817,70.57,2.2,0.3113589484393597,0.03399994748687044,184.92,164000,2025_12_03-14_31_43,no,LSTM,stateless retrain,cuda,StandardScaler
