timesteps_per_sequence_N,m,num_of_epochs,batch_size_b,learning_rate,input_size,hidden_size,number_of_layers,output_size,r2_train_scaled,r2_val_scaled,r2_test_scaled,mse_train_scaled,mse_val_scaled,mse_test_scaled,r2_train,r2_val,r2_test,mse_train,mse_val,mse_test,mse_mean,mse_std,time_training,mse_num_of_last_steps,num_of_iterations,id,weighted,architecture,training_type,device,scaler
500,42,400,100,0.0001,1,8,1,1,98.99,98.36,98.26,0.01008429192006588,0.017128625884652138,0.017778314650058746,98.99,98.36,98.26,0.0006039637373760343,0.0010258594993501902,0.0010647705057635903,0.001144023110391572,3.032019973710551e-05,122.23,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,47,400,100,0.0001,1,8,1,1,98.82,98.18,98.16,0.011868429370224476,0.01909412257373333,0.018908774480223656,98.82,98.18,98.16,0.000710818509105593,0.001143576460890472,0.0011324756778776646,0.001084583649644628,2.87592877456856e-05,121.26,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,52,400,100,0.0001,1,8,1,1,98.75,97.97,97.89,0.012497452087700367,0.021303173154592514,0.021696414798498154,98.75,97.97,97.89,0.0007484914967790246,0.0012758797965943813,0.0012994316639378667,0.001040970525937155,2.7414637296791405e-05,118.84,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,57,400,100,0.0001,1,8,1,1,98.41,97.39,97.41,0.01602225936949253,0.027393249794840813,0.026788104325532913,98.41,97.39,97.41,0.0009595977608114481,0.0016406236682087183,0.001604380551725626,0.0010731389746069908,2.8559222763417053e-05,122.87,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,63,400,100,0.0001,1,8,1,1,98.27,97.18,97.22,0.01738128438591957,0.02970794029533863,0.028775561600923538,98.27,97.18,97.22,0.0010409918613731861,0.0017792542930692434,0.0017234126571565866,0.001092559975804761,2.97526311464525e-05,121.16,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,68,400,100,0.0001,1,8,1,1,98.11,96.89,96.97,0.01900913566350937,0.032792650163173676,0.03148653730750084,98.11,96.89,96.97,0.0011384864337742329,0.0019640030805021524,0.0018857771065086126,0.0010966995672788472,3.0096899224230272e-05,119.18,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,73,400,100,0.0001,1,8,1,1,97.86,96.42,96.59,0.02161508798599243,0.037845879793167114,0.035565558820962906,97.86,96.42,96.59,0.0012945609632879496,0.002266647992655635,0.0021300760563462973,0.0011093110346700997,3.050053702675877e-05,123.12,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,78,400,100,0.0001,1,8,1,1,97.7,96.15,96.36,0.023173166438937187,0.04084444418549538,0.03797750920057297,97.7,96.15,96.36,0.001387876458466053,0.0024462363217025995,0.0022745311725884676,0.0011209965159650892,3.1113833228186634e-05,120.65,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,83,400,100,0.0001,1,8,1,1,97.67,96.1,96.32,0.023503920063376427,0.041435904800891876,0.038443077355623245,97.67,96.1,96.32,0.0014076861552894115,0.002481660107150674,0.002302414970472455,0.001128672572085634,3.2259595630643004e-05,119.92,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,89,400,100,0.0001,1,8,1,1,97.62,96.01,96.25,0.024030067026615143,0.0423838309943676,0.0391806960105896,97.62,96.01,96.25,0.00143919768743217,0.0025384328328073025,0.0023465922567993402,0.0011368492885958403,3.31016312335903e-05,118.14,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,94,400,100,0.0001,1,8,1,1,97.58,95.95,96.2,0.024410581216216087,0.043068625032901764,0.039712026715278625,97.58,95.95,96.2,0.0014619872672483325,0.0025794459506869316,0.0023784141521900892,0.0011432706972118467,3.337593833373913e-05,118.16,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,99,400,100,0.0001,1,8,1,1,97.58,95.93,96.19,0.024473777040839195,0.043195631355047226,0.039837997406721115,97.58,95.93,96.19,0.001465772045776248,0.002587052993476391,0.002385959029197693,0.0011471893172711133,3.3789637433585324e-05,117.75,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,110,400,100,0.0001,1,8,1,1,97.52,95.84,96.11,0.025030402466654778,0.04421631619334221,0.04063301160931587,97.52,95.84,96.11,0.0014991093194112182,0.0026481831446290016,0.002433573827147484,0.001161561452317983,3.494983281959676e-05,119.38,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,130,400,100,0.0001,1,8,1,1,97.48,95.76,96.06,0.025449544191360474,0.0450655072927475,0.041123729199171066,97.48,95.76,96.06,0.0015242125373333693,0.002699043368920684,0.002462963340803981,0.0011769380990881472,3.641430731525111e-05,120.83,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,151,400,100,0.0001,1,8,1,1,97.45,95.7,96.0,0.02573934942483902,0.045620352029800415,0.04177621006965637,97.45,95.7,96.0,0.0015415693633258343,0.002732272958382964,0.0025020414032042027,0.0012013146467506886,3.769189874287688e-05,118.66,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,171,400,100,0.0001,1,8,1,1,97.43,95.65,95.99,0.02594100683927536,0.04617699608206749,0.04190193489193916,97.43,95.65,95.99,0.0015536469873040915,0.0027656115125864744,0.0025095713790506124,0.0012198808626271785,3.957710434107317e-05,116.31,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,192,400,100,0.0001,1,8,1,1,97.48,95.74,96.08,0.025418614968657494,0.04523029550909996,0.04095769301056862,97.48,95.74,96.08,0.0015223599039018154,0.002708911430090666,0.002453019144013524,0.0012439564988017083,4.214720284264674e-05,121.76,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,212,400,100,0.0001,1,8,1,1,97.48,95.73,96.05,0.02545919455587864,0.04538588225841522,0.04123963415622711,97.48,95.73,96.05,0.0015247904229909182,0.0027182300109416246,0.002469905186444521,0.0012645164947025478,4.578327846610241e-05,124.93,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,233,400,100,0.0001,1,8,1,1,97.55,95.84,96.19,0.02476472593843937,0.04418250545859337,0.039743173867464066,97.55,95.84,96.19,0.0014831975568085909,0.0026461584493517876,0.0023802798241376877,0.001293621677905321,5.566640603555566e-05,115.83,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,253,400,100,0.0001,1,8,1,1,97.59,95.92,96.27,0.024288088083267212,0.04324119910597801,0.03881629928946495,97.59,95.92,96.27,0.001454650890082121,0.002589781768620014,0.002324767643585801,0.0013292093749623746,5.3039146639381354e-05,120.05,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,274,400,100,0.0001,1,8,1,1,97.6,95.94,96.28,0.024190643802285194,0.04308619722723961,0.03876492753624916,97.6,95.94,96.28,0.001448814757168293,0.0025804988108575344,0.002321691019460559,0.0013838968705385923,5.35735879208187e-05,117.88,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
500,294,400,100,0.0001,1,8,1,1,97.63,95.95,96.23,0.023930242285132408,0.0428767167031765,0.03924162685871124,97.63,95.95,96.23,0.001433218945749104,0.0025679529644548893,0.0023502411786466837,0.0014535981044173241,5.8351820916806596e-05,117.94,100,78000,2025_12_02-02_35_58,no,LSTM,stateless,cuda,StandardScaler
