timesteps_per_sequence_N,m,num_of_epochs,batch_size_b,learning_rate,input_size,hidden_size,number_of_layers,output_size,r2_train_scaled,r2_val_scaled,r2_test_scaled,mse_train_scaled,mse_val_scaled,mse_test_scaled,r2_train,r2_val,r2_test,mse_train,mse_val,mse_test,mse_mean,mse_std,time_training,mse_num_of_last_steps,num_of_iterations,id,weighted,architecture,training_type,device,scaler
200,26,400,100,0.0001,1,8,1,1,99.96,99.95,99.86,0.00042586540803313255,0.000482061441289261,0.0013754209503531456,99.96,99.95,99.86,1.2725662372758961e-06,1.4404907915377407e-06,4.110018380742986e-06,0.014596425509080291,0.001652031440255451,100.17,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,31,400,100,0.0001,1,8,1,1,99.96,99.95,99.86,0.00040595015161670744,0.00047911537694744766,0.0013600181555375457,99.96,99.95,99.86,1.2130558388889767e-06,1.4316875649456051e-06,4.063992037117714e-06,0.01080190034583211,0.0012253254466850023,105.04,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,36,400,100,0.0001,1,8,1,1,99.96,99.95,99.86,0.0004218916001264006,0.0005212597316130996,0.0013573148753494024,99.96,99.95,99.86,1.2606921018232242e-06,1.5576227951896726e-06,4.055913905176567e-06,0.008012469657696784,0.0009095021043718924,100.33,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,42,400,100,0.0001,1,8,1,1,99.96,99.95,99.86,0.0004023588262498379,0.0005025785067118704,0.0013376119313761592,99.96,99.95,99.86,1.202324256155407e-06,1.5017999430710915e-06,3.997037765657296e-06,0.005613852986134589,0.0006420363900198412,98.12,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,47,400,100,0.0001,1,8,1,1,99.96,99.95,99.86,0.0003815452510025352,0.0004814347776118666,0.00132850487716496,99.96,99.95,99.86,1.1401294841562049e-06,1.4386185966941412e-06,3.969823410443496e-06,0.0042017454863525925,0.0004915925692102382,107.11,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,52,400,100,0.0001,1,8,1,1,99.96,99.96,99.87,0.00035718895378522575,0.0004552784957922995,0.0013084316160529852,99.96,99.96,99.87,1.0673481938283658e-06,1.3604582136395038e-06,3.9098417801142205e-06,0.0031571264727972446,0.0003725425004041489,98.97,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,57,400,100,0.0001,1,8,1,1,99.97,99.96,99.87,0.0003484819026198238,0.00044442323269322515,0.001300714211538434,99.97,99.96,99.87,1.041329710460559e-06,1.3280210851007723e-06,3.886781087203417e-06,0.0023830275947693737,0.00028282649558691045,108.03,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,63,400,100,0.0001,1,8,1,1,99.97,99.96,99.87,0.0003319545940030366,0.0004264998424332589,0.0012898329878225923,99.97,99.96,99.87,9.919432386595872e-07,1.2744623063554172e-06,3.854265287372982e-06,0.0017071853787638247,0.0002019364129261671,95.29,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,68,400,100,0.0001,1,8,1,1,99.97,99.96,99.87,0.0003227251290809363,0.00041982735274359584,0.0012887462507933378,99.97,99.96,99.87,9.643636076361872e-07,1.2545236813821248e-06,3.851017936540302e-06,0.001306122345267795,0.00015804390973606785,95.3,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,73,400,100,0.0001,1,8,1,1,99.97,99.96,99.87,0.00031223674886859953,0.0004147118597757071,0.0012882370501756668,99.97,99.96,99.87,9.330225338999298e-07,1.2392375765557517e-06,3.849495442409534e-06,0.001007731541758403,0.00012415014383855251,101.65,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
